[2026-04-04 11:06:34] === RPCS3 copy started ===
[2026-04-04 11:06:34] Source: C:\MY_GAMES\RPCS3\
[2026-04-04 11:06:34] Dest:   D:\RPCS3
[2026-04-04 11:06:52]    Copied in 0.14s at 1.1 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-oFrp2oHda1an6Q84c3AQ44-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-oFrp2oHda1an6Q84c3AQ44-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Copied in 0.06s at 3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-oimhphbqfgSYag6NAzFmeH-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-oimhphbqfgSYag6NAzFmeH-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Copied in 0.06s at 3.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-oJ8zyhmNpCVcSfGywjWSur-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-oJ8zyhmNpCVcSfGywjWSur-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Copied in 0.04s at 5 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-p9usasztbNLrS3fkh0h6S6-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-p9usasztbNLrS3fkh0h6S6-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Copied in 0.14s at 1.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-PeEnLHkb7gyoenGnnUyKde-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-PeEnLHkb7gyoenGnnUyKde-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Copied in 0.04s at 4.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-pJXQHxPwKe4XXGdgJ87cbH-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-pJXQHxPwKe4XXGdgJ87cbH-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Copied in 0.05s at 3.8 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-pUJd0XHbMgfpLLWgoseUfu-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-pUJd0XHbMgfpLLWgoseUfu-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Copied in 0.04s at 3.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-PX7HUCgY2KAnLyqp7G980g-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-PX7HUCgY2KAnLyqp7G980g-00001G-znver5.obj.gz
[2026-04-04 11:06:53]    Copied in 0.05s at 3.6 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-QcdUMo60C4cWz0chQE3Y1J-00001G-znver5.obj.gz
